Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
5/1/13,171.22,167.78,192.67,189.01,199.34,196.57,242.09,238.26,206.07,201.86,207.08,204.32,198.17,194.91,206.35,203.16,212.05,209.01,199.83,196.46
6/1/13,173.54,168.67,194.97,190.80,201.58,196.94,245.72,240.10,207.35,201.96,210.39,206.90,199.93,195.53,210.92,205.49,213.55,209.46,202.28,197.62
7/1/13,174.78,169.85,192.38,188.76,202.56,198.17,246.73,241.60,208.67,203.55,214.22,210.08,201.38,197.36,211.43,206.00,212.68,208.80,203.30,198.75
8/1/13,174.41,170.22,191.79,188.80,201.01,197.23,247.11,243.44,208.63,204.30,214.29,211.56,200.83,197.78,210.62,206.34,212.17,209.72,202.83,199.29
9/1/13,173.52,170.52,195.34,192.87,200.04,197.74,248.33,246.06,205.61,203.05,215.97,213.89,200.32,198.13,210.32,207.37,212.84,211.21,202.93,200.44
10/1/13,172.20,170.81,192.59,191.26,200.51,198.57,250.22,249.13,205.07,203.86,215.81,214.86,200.43,198.85,208.78,206.98,212.03,211.53,202.41,200.97
11/1/13,172.07,171.07,190.62,190.00,200.21,199.11,247.33,247.37,204.70,203.41,215.31,215.32,200.05,199.48,208.81,207.74,212.28,212.01,201.90,201.16
12/1/13,170.97,172.36,190.98,191.35,197.25,197.28,247.59,249.14,203.00,203.37,214.77,216.45,200.74,200.86,207.26,207.81,214.26,214.74,201.52,202.17
1/1/14,170.14,173.26,189.39,190.85,197.82,198.72,249.79,251.20,203.58,204.68,215.41,218.08,199.49,201.17,207.03,209.43,214.05,215.67,201.27,203.16
2/1/14,170.24,172.97,191.77,193.30,196.17,198.11,253.03,253.88,201.15,203.89,218.10,220.20,201.36,202.72,208.05,210.37,215.34,216.27,202.33,204.07
3/1/14,172.47,173.43,192.86,192.39,197.34,198.66,252.26,252.55,206.92,207.43,221.23,221.31,204.05,203.35,210.07,210.72,219.02,217.58,204.71,204.68
4/1/14,176.19,174.86,195.30,193.38,200.08,199.61,255.39,253.57,205.34,204.99,223.98,222.28,205.44,203.36,213.47,211.97,219.63,217.50,207.00,205.31
5/1/14,177.85,174.29,197.26,193.54,203.17,200.16,258.73,254.53,212.26,207.81,226.23,223.01,208.06,204.48,214.60,211.23,221.24,217.96,209.41,205.77
6/1/14,180.24,175.06,198.62,194.42,205.74,200.97,262.13,256.34,213.55,207.87,228.57,224.80,210.22,205.53,217.92,212.38,222.97,218.80,211.71,206.81
7/1/14,181.04,175.95,198.53,194.89,204.84,200.31,261.02,255.82,214.40,208.82,230.27,225.90,210.81,206.47,218.41,212.72,224.95,220.91,212.34,207.56
8/1/14,181.10,176.89,198.86,195.91,205.51,201.54,263.19,259.35,213.80,209.29,230.76,227.86,209.14,206.01,217.75,213.37,224.67,222.11,212.20,208.54
9/1/14,180.36,177.30,198.31,195.93,202.79,200.39,261.67,259.43,211.75,209.00,229.72,227.72,209.27,207.02,217.02,214.13,224.26,222.49,211.33,208.78
10/1/14,179.72,178.38,197.97,196.80,203.21,201.37,262.04,261.19,209.97,208.87,230.62,229.91,209.91,208.18,216.87,215.26,224.22,223.70,211.40,210.00
11/1/14,178.63,177.91,199.10,198.55,203.04,202.04,262.80,262.76,210.29,209.24,230.68,230.76,210.64,210.13,217.45,216.37,225.36,225.17,211.64,210.98
12/1/14,178.49,179.93,196.82,197.14,203.15,203.20,264.25,265.75,208.53,209.12,231.25,233.03,211.20,211.35,215.95,216.70,226.40,226.79,211.65,212.32
1/1/15,175.60,178.79,198.88,200.36,201.60,202.49,266.12,267.52,208.00,209.05,231.98,234.75,208.53,210.17,214.20,216.53,226.94,228.54,210.66,212.54
2/1/15,178.14,180.85,197.73,199.20,200.56,202.42,269.12,269.51,210.25,212.89,233.98,235.88,213.15,214.33,214.27,216.64,228.80,229.78,212.65,214.28
3/1/15,180.59,181.16,202.31,201.38,203.71,204.89,270.38,269.98,211.92,212.25,237.48,237.19,215.86,214.91,217.46,217.68,230.33,228.64,215.37,215.00
4/1/15,183.03,181.42,205.02,202.91,203.96,203.45,273.23,270.84,213.49,212.65,241.04,238.93,217.44,215.04,221.27,219.38,232.32,230.21,217.62,215.64
5/1/15,186.53,182.83,204.87,201.06,207.77,204.56,278.20,273.59,218.01,213.49,243.54,239.91,220.61,216.72,224.00,220.31,236.53,232.90,220.87,216.95
6/1/15,189.17,183.78,206.26,202.19,209.57,204.74,279.90,274.08,221.75,215.83,245.40,241.44,222.89,218.10,225.95,220.37,237.69,233.45,222.94,217.91
7/1/15,188.56,183.45,206.50,202.77,210.98,206.29,284.78,279.53,220.79,215.03,247.63,243.26,223.57,219.05,227.11,221.24,238.34,234.19,223.83,218.93
8/1/15,186.97,182.83,207.00,203.90,210.59,206.54,283.17,279.19,219.45,214.89,247.05,244.06,222.51,219.23,227.32,222.83,238.37,235.56,223.09,219.31
9/1/15,187.65,184.63,206.61,204.36,209.42,206.96,283.02,280.80,218.87,216.01,247.39,245.44,223.56,221.29,226.10,223.29,238.50,236.61,223.20,220.63
10/1/15,186.92,185.51,206.63,205.68,209.32,207.54,282.52,281.76,217.37,216.35,248.44,248.00,224.39,222.62,225.42,223.95,238.54,238.03,223.20,221.84
11/1/15,186.86,186.35,207.55,206.92,208.32,207.34,286.91,286.64,217.51,216.60,251.02,251.13,224.54,224.03,226.17,225.05,237.99,237.79,223.76,223.11
12/1/15,185.94,187.44,207.68,208.07,208.34,208.30,283.62,284.85,217.59,218.36,250.65,252.47,224.22,224.40,226.56,227.40,238.28,238.69,223.35,224.02
1/1/16,184.90,188.14,208.85,210.31,206.81,207.74,284.95,286.24,218.59,219.64,249.44,252.26,225.37,227.15,226.98,229.30,238.14,239.68,223.28,225.19
2/1/16,185.43,187.96,207.06,208.32,208.23,209.96,288.98,289.05,215.15,217.44,253.65,255.31,225.07,225.95,227.75,230.24,239.28,240.26,224.16,225.60
3/1/16,189.03,189.27,210.32,209.00,209.10,210.10,293.28,292.17,219.32,219.38,257.98,257.31,229.96,228.77,229.13,228.83,244.72,242.86,227.91,227.21
4/1/16,191.61,189.76,213.15,211.03,210.79,210.17,296.36,293.49,223.18,221.71,261.02,258.49,231.93,229.07,232.97,230.69,245.52,243.39,230.35,228.07
5/1/16,194.45,190.62,215.17,211.23,215.24,211.95,300.53,295.54,225.57,221.07,263.43,259.37,234.49,230.23,234.91,230.87,248.62,244.66,233.24,229.04
6/1/16,197.49,191.98,215.67,211.67,217.64,212.85,302.39,296.75,227.73,221.74,264.41,260.33,237.43,232.59,237.01,231.30,250.38,246.01,235.43,230.32
7/1/16,197.74,192.59,217.43,213.40,217.67,212.92,303.09,297.76,228.29,222.53,266.28,261.87,238.18,233.47,239.85,233.77,251.69,247.52,236.43,231.41
8/1/16,198.40,194.25,217.85,214.52,217.80,213.77,303.70,299.64,228.61,224.01,266.02,262.99,238.12,234.53,238.48,233.89,251.53,248.53,236.49,232.58
9/1/16,198.17,195.11,217.64,215.48,217.36,214.84,304.29,301.97,228.60,225.50,268.55,266.50,238.41,236.01,238.33,235.54,251.62,249.60,236.79,234.12
10/1/16,197.53,196.01,216.62,215.80,216.95,215.27,306.97,306.24,228.61,227.47,267.78,267.55,239.79,237.91,238.02,236.67,251.44,250.89,236.83,235.46
11/1/16,197.35,196.93,218.14,217.46,218.12,217.22,306.98,306.42,229.17,228.28,269.56,269.60,239.45,238.87,239.47,238.38,252.03,251.67,237.40,236.70
12/1/16,196.67,198.26,219.84,220.18,216.62,216.55,308.17,309.03,228.10,228.84,269.62,271.57,240.46,240.65,237.50,238.49,252.33,252.74,237.34,238.00
1/1/17,194.78,198.03,216.33,217.62,216.09,217.02,307.32,308.60,228.58,229.50,269.31,272.15,238.30,240.06,235.62,237.97,252.68,254.14,236.05,237.90
2/1/17,197.09,199.45,219.46,220.40,217.15,218.71,312.45,312.35,227.61,229.63,273.13,274.49,240.81,241.39,237.11,239.55,255.43,256.56,238.52,239.77
3/1/17,201.42,201.39,224.21,222.67,217.74,218.40,316.88,315.06,233.23,233.01,278.31,277.29,244.38,243.06,242.22,241.38,256.98,254.93,242.25,241.23
4/1/17,203.70,201.60,224.39,222.32,221.40,220.59,320.27,316.90,235.51,233.37,281.98,279.03,249.02,245.74,245.10,242.54,261.35,259.09,245.54,242.94
5/1/17,206.40,202.35,226.81,222.63,224.08,220.71,324.66,319.44,237.47,233.02,285.78,281.29,250.53,245.83,248.71,244.37,264.78,260.53,248.36,243.87
6/1/17,207.78,202.15,228.76,224.74,226.35,221.56,326.56,320.92,241.26,235.09,287.53,283.29,251.83,247.04,250.65,244.80,264.83,260.29,249.95,244.75
7/1/17,209.23,203.98,230.89,226.53,228.14,223.27,328.93,323.32,241.83,236.03,287.84,283.41,253.36,248.53,251.67,245.41,266.45,262.14,251.38,246.21
8/1/17,209.32,205.12,230.60,226.99,228.78,224.73,329.75,325.65,241.53,236.76,291.14,287.96,255.07,251.17,251.38,246.71,266.18,262.95,252.16,248.07
9/1/17,208.95,205.80,228.50,226.42,228.95,226.30,330.54,327.99,241.37,238.00,291.85,289.68,254.10,251.51,250.69,247.88,267.56,265.44,252.00,249.20
10/1/17,208.81,207.09,231.43,230.69,228.68,227.10,331.99,331.19,241.38,240.21,290.61,290.44,254.75,252.85,250.68,249.28,266.52,265.93,252.10,250.68
11/1/17,208.67,208.32,229.67,228.99,227.92,226.94,336.39,335.55,241.88,240.91,293.56,293.53,255.61,254.97,252.25,251.16,268.51,267.90,253.03,252.24
12/1/17,208.38,210.14,230.36,230.74,228.18,227.95,335.91,336.44,240.75,241.37,292.62,294.75,255.57,255.80,249.67,250.69,268.23,268.66,252.61,253.29
1/1/18,208.86,212.22,231.63,232.92,228.18,229.13,338.63,339.98,241.04,241.92,295.07,298.02,257.10,258.89,251.59,254.09,266.47,267.83,253.51,255.40
2/1/18,210.60,212.85,232.97,233.56,228.91,230.28,342.70,342.51,243.23,244.94,300.53,301.67,259.97,260.08,251.90,254.32,271.59,272.83,256.24,257.28
3/1/18,213.45,213.24,235.53,233.81,233.75,234.10,346.62,344.19,243.67,243.02,302.52,301.20,263.10,261.55,257.56,256.13,273.79,271.54,259.37,258.05
4/1/18,216.79,214.46,235.94,233.98,234.04,232.96,349.96,346.01,247.76,245.11,305.11,301.78,266.27,262.46,259.36,256.55,275.02,272.58,261.70,258.78
5/1/18,219.29,215.01,242.45,238.00,236.58,233.13,354.21,348.68,251.46,247.01,307.31,302.43,269.21,263.99,263.03,258.41,277.98,273.52,264.89,260.10
6/1/18,221.84,216.04,243.01,238.80,239.41,234.56,359.22,353.35,253.58,247.27,308.62,304.27,268.59,263.74,265.78,259.59,279.44,274.65,266.58,261.21
7/1/18,222.49,217.04,243.33,238.72,239.87,234.89,358.67,352.57,253.47,247.58,309.15,304.64,271.28,266.16,267.58,261.05,279.25,274.84,267.46,262.07
8/1/18,222.49,218.13,244.85,241.08,239.42,235.39,359.26,355.02,253.82,248.79,310.89,307.57,272.50,268.19,265.89,261.04,280.23,276.84,268.01,263.71
9/1/18,222.63,219.34,243.14,240.97,238.77,236.06,361.85,358.99,253.75,250.10,308.88,306.59,271.79,268.94,264.81,261.86,279.08,276.88,267.38,264.41
10/1/18,222.88,220.98,243.45,242.60,237.96,236.41,360.78,359.84,253.72,252.39,309.24,309.09,270.67,268.65,266.86,265.41,278.98,278.39,267.27,265.76
11/1/18,221.05,220.75,245.91,245.37,240.01,238.92,362.79,361.74,253.28,252.30,309.64,309.51,272.09,271.41,265.69,264.62,281.57,280.81,267.98,267.14
12/1/18,220.24,222.22,245.15,245.54,240.53,240.22,361.64,361.90,252.92,253.48,308.88,311.24,273.05,273.37,265.04,266.20,280.09,280.47,267.60,268.33
1/1/19,219.97,223.41,245.11,246.39,241.45,242.43,365.89,367.32,253.04,253.91,309.28,312.30,272.27,274.02,264.24,266.81,281.66,282.91,267.92,269.81
2/1/19,223.38,225.53,248.60,248.87,240.12,241.35,366.20,365.89,255.17,256.79,311.91,312.75,275.45,275.26,266.14,268.46,282.20,283.53,269.99,270.85
3/1/19,225.53,225.19,250.02,248.19,241.52,241.56,370.86,368.09,255.47,254.67,315.41,313.87,277.81,276.19,272.34,270.39,287.31,284.91,272.95,271.42
4/1/19,228.54,225.96,252.89,250.92,244.10,242.78,378.29,373.86,259.59,256.71,319.28,315.66,282.27,278.14,273.24,270.22,287.72,285.06,276.14,272.95
5/1/19,231.63,227.15,254.63,249.89,247.34,243.84,380.15,374.45,262.42,258.11,322.71,317.59,284.84,279.21,275.82,271.06,290.22,285.68,278.92,273.91
6/1/19,233.61,227.61,256.45,252.01,248.70,243.77,380.74,374.58,263.37,257.04,322.40,317.87,284.41,279.43,278.28,271.81,292.73,287.76,280.06,274.50
7/1/19,234.50,228.80,257.96,252.99,249.58,244.52,385.57,379.08,264.69,258.77,324.70,320.04,286.25,280.88,279.35,272.60,293.57,289.00,281.61,275.99
8/1/19,234.59,229.99,256.00,252.00,249.79,245.67,384.10,379.64,266.70,261.50,324.07,320.52,285.12,280.51,279.65,274.61,293.11,289.52,281.19,276.65
9/1/19,234.91,231.48,258.51,256.18,249.68,246.89,385.90,382.80,265.41,261.68,323.96,321.48,288.36,285.32,280.38,277.22,292.70,290.43,282.10,278.96
10/1/19,233.20,231.14,258.61,257.66,250.61,249.03,385.83,384.76,263.84,262.49,324.41,324.16,288.55,286.45,279.02,277.47,292.77,292.20,281.79,280.18
11/1/19,234.24,233.96,257.27,256.74,251.19,249.99,385.06,383.92,264.35,263.35,325.93,325.76,287.74,287.01,278.79,277.61,292.94,292.05,281.98,281.07
12/1/19,232.02,234.15,259.74,260.16,251.79,251.33,390.32,390.49,264.50,265.15,325.21,327.77,289.56,289.92,279.02,280.24,295.74,296.06,282.73,283.48
1/1/20,231.45,235.01,260.61,261.94,252.11,253.10,390.65,392.12,265.58,266.59,327.63,330.80,290.24,292.11,278.36,280.96,293.97,295.11,282.94,284.89
2/1/20,235.56,237.70,263.98,264.05,253.94,255.13,396.73,396.36,267.07,268.67,332.40,333.12,294.28,293.94,282.01,284.32,295.40,296.71,286.47,287.24
3/1/20,238.24,237.85,266.24,264.23,255.08,254.93,402.77,399.79,272.53,271.56,335.02,333.27,295.90,294.23,285.12,282.83,300.04,297.55,289.34,287.66
4/1/20,242.04,239.27,267.64,265.60,256.54,255.08,403.91,399.23,273.45,270.34,336.83,332.97,296.98,292.65,287.92,284.66,302.36,299.51,291.41,288.01
5/1/20,243.21,238.50,269.54,264.45,258.68,255.09,403.86,397.91,272.18,267.75,335.77,330.43,298.90,292.97,289.62,284.61,303.69,298.99,292.52,287.27
